School name,Suggested Mascot,website,osmLink
Myatt Elementary School,Fighting,https://www.ecisd.org/page/myatt,https://www.openstreetmap.org/way/518683416
Leonard Shanklin Elementary School,Fighting,https://es.luling.txed.net/,https://www.openstreetmap.org/way/566143437
Needville Elementary School,Fighting,https://www.needvilleisd.com/o/needville-elementary-school,https://www.openstreetmap.org/way/781374818
Hutchins Elementary School,Fighting,https://www.ecisd.org/page/about-us-he,https://www.openstreetmap.org/way/1453341534
Littleton Elementary School,Firebirds,https://lnes.littletonaz.org/,https://www.openstreetmap.org/way/153276444
Falcon Hill Elementary School,FIREBIRDS,https://www.mpsaz.org/falconhill,https://www.openstreetmap.org/way/1109126055
Secrest Elementary School,Firebirds,https://secrest.jeffcopublicschools.org/,https://www.openstreetmap.org/way/1276526117
Green Springs Elementary School,Fliers,https://www.clyde.k12.oh.us/schools/green-springs-elementary,https://www.openstreetmap.org/way/390181431
M. R. Weaver Elementary School,Flyers,https://www.npsb.la/o/mrw,https://www.openstreetmap.org/way/594353609
Fox Mill Elementary School,Foxes,https://foxmilles.fcps.edu/,https://www.openstreetmap.org/way/504641074
Willow Springs Elementary School,Foxes,https://willowspringses.fcps.edu/,https://www.openstreetmap.org/way/904933733
Franklin Avenue Elementary School,Franklin,https://www.franklinavenueschool.org/,https://www.openstreetmap.org/way/58582036
Riverview Elementary School,Gators,https://www.hillsboroughschools.org/riverviewes,https://www.openstreetmap.org/way/220476517
Glenn Hills Elementary School,Gators,http://ghes.rcboe.org/,https://www.openstreetmap.org/way/319371978
Roger Anton Elementary School,Gators,https://anton.sbcusd.com/,https://www.openstreetmap.org/way/775172308
Glen View Elementary School,Gators,https://glenview.lincolnschools.org/o/gves,https://www.openstreetmap.org/way/1227029363
George Elementary School,Giants,https://george.sdale.org/,https://www.openstreetmap.org/way/746277270
May Overby Elementary School,Golden,https://www.aberdeen.k12.sd.us/o/may-overby,https://www.openstreetmap.org/way/248414789
North Elementary School,Golden,https://www.lamesaisd.net/,https://www.openstreetmap.org/way/300684378
Haven Bay Elementary,Great,https://havenbay.wsd.net/,https://www.openstreetmap.org/way/1316303346
North DeSoto Upper Elementary School,Griffins,https://www.desotopsb.com/o/north-desoto-ue,https://www.openstreetmap.org/node/358400469
Glen City Elementary School,Grizzlies,https://glencity.santapaulausd.org/,https://www.openstreetmap.org/node/358784783
Vencil Brown Elementary School,Grizzlies,https://brown.rcsdk8.org/,https://www.openstreetmap.org/way/121005353
